"playerID","yearID","AB","H","BB","HBP","X2B","X3B","HR","SF","Games","POS","birthYear","birthMonth","birthDay","Age","Age_centered","SLG","OBP","wRC_plus"
"batesja01",1995,322,86,42,2,17,4,8,0,251,"2B",1971,1,5,24,-6,0.419254658385093,0.355191256830601,118.43753181957
"bicheda01",1995,579,197,22,4,38,2,40,7,905,"OF",1963,11,18,31,1,0.620034542314335,0.36437908496732,146.192725794981
"britojo01",1995,51,11,2,1,3,0,0,0,26,"C",1966,6,22,29,-1,0.274509803921569,0.259259259259259,82.3529411764706
"burksel01",1995,278,74,39,2,10,6,14,1,726,"OF",1964,9,11,30,0,0.496402877697842,0.359375,129.219874100719
"castivi02",1995,527,163,30,4,34,2,32,6,1659,"3B",1967,7,4,27,-3,0.563567362428843,0.347442680776014,135.803439655432
"galaran01",1995,554,155,32,13,29,3,31,5,962,"1B",1961,6,18,34,4,0.510830324909747,0.33112582781457,126.01059124489
"girarjo01",1995,462,121,29,2,17,2,8,1,771,"C",1964,10,14,30,0,0.359307359307359,0.307692307692308,102.094572094572
"hubbatr01",1995,58,18,8,0,4,0,3,0,327,"OF",1964,5,11,31,1,0.53448275862069,0.393939393939394,140.391849529781
"kingemi01",1995,350,94,45,0,18,4,8,1,196,"1B",1961,3,29,34,4,0.411428571428571,0.351010101010101,116.667532467532
"mejiaro02",1995,52,8,0,1,1,0,1,1,20,"2B",1972,4,14,23,-7,0.230769230769231,0.166666666666667,60
"vandejo02",1995,101,35,16,0,8,1,5,1,583,"1B",1966,4,29,29,-1,0.594059405940594,0.432203389830508,155.024332941769
"walkela01",1995,494,151,49,14,31,5,36,5,1229,"OF",1966,12,1,28,-2,0.607287449392713,0.380782918149466,147.488293687957
"weisswa01",1995,427,111,98,5,17,3,1,1,677,"SS",1963,11,28,31,1,0.320843091334895,0.4030131826742,114.251974754892
"younger01",1995,366,116,49,5,21,9,6,1,1322,"2B",1967,5,18,28,-2,0.472677595628415,0.403800475059382,134.132172942383
"anthoer01",1996,62,15,10,0,2,0,4,1,118,"1B",1967,11,8,28,-2,0.467741935483871,0.342465753424658,122.450287229342
"batesja01",1996,160,33,23,2,8,1,1,1,251,"2B",1971,1,5,25,-5,0.2875,0.311827956989247,93.5040322580645
"bicheda01",1996,633,198,45,6,39,3,31,10,905,"OF",1963,11,18,32,2,0.530805687203792,0.358789625360231,133.586871901334
"burksel01",1996,613,211,61,6,45,8,40,2,726,"OF",1964,9,11,31,1,0.639477977161501,0.407624633431085,156.50457104859
"castivi02",1996,629,191,35,5,34,0,40,4,1659,"3B",1967,7,4,28,-2,0.548489666136725,0.343239227340267,133.086717519022
"galaran01",1996,626,190,40,17,39,3,47,8,962,"1B",1961,6,18,35,5,0.600638977635783,0.357452966714906,142.424601101335
"hubbatr01",1996,60,13,9,1,5,1,1,0,327,"OF",1964,5,11,32,2,0.383333333333333,0.328571428571429,108.97619047619
"mccraqu01",1996,283,82,32,1,13,6,3,1,711,"OF",1970,8,16,25,-5,0.409893992932862,0.362776025236593,118.585903623859
"owensja02",1996,180,43,27,1,9,1,4,2,84,"C",1969,2,10,27,-3,0.366666666666667,0.338095238095238,108.52380952381
"reedje02",1996,341,97,43,2,20,1,8,3,487,"C",1962,11,12,33,3,0.419354838709677,0.365038560411311,120.223069906294
"reynoar02",1996,52,9,5,0,1,0,0,0,150,"P",1966,5,1,30,0,0.192307692307692,0.245614035087719,69.2105263157895
"ritzke01",1996,65,15,7,0,2,0,1,0,86,"P",1965,6,8,31,1,0.307692307692308,0.305555555555556,95
"thompma01",1996,58,8,1,0,3,0,0,0,92,"P",1971,4,7,25,-5,0.189655172413793,0.152542372881356,52.1127995324372
"vandejo02",1996,151,38,19,1,6,2,5,2,583,"1B",1966,4,29,30,0,0.417218543046358,0.335260115606936,114.585231405275
"walkela01",1996,272,75,20,9,18,4,18,3,1229,"OF",1966,12,1,29,-1,0.569852941176471,0.342105263157895,135.659829721362
"weisswa01",1996,517,146,80,6,20,2,8,6,677,"SS",1963,11,28,32,2,0.375241779497099,0.380952380952381,117.352859906051
"younger01",1996,568,184,47,21,23,4,8,5,1322,"2B",1967,5,18,29,-1,0.420774647887324,0.393135725429017,125.465134802575
"bailero01",1997,62,13,2,0,1,0,0,0,92,"P",1970,10,3,26,-4,0.225806451612903,0.234375,71.5423387096774
"batesja01",1997,121,29,15,3,10,0,3,0,251,"2B",1971,1,5,26,-4,0.396694214876033,0.338129496402878,112.433557286402
"bicheda01",1997,561,173,30,3,31,2,26,7,905,"OF",1963,11,18,33,3,0.509803921568627,0.342762063227953,127.971681184953
"burksel01",1997,424,123,47,3,19,2,32,2,726,"OF",1964,9,11,32,2,0.570754716981132,0.36344537815126,139.618281274774
"castivi02",1997,612,186,44,8,25,2,40,4,1659,"3B",1967,7,4,29,-1,0.547385620915033,0.356287425149701,135.2918672459
"galaran01",1997,600,191,54,17,31,3,41,3,962,"1B",1961,6,18,36,6,0.585,0.388724035608309,146.020326409496
"heltoto01",1997,93,26,8,0,2,1,5,0,2193,"1B",1973,8,20,23,-7,0.483870967741935,0.336633663366337,123.497285212392
"manwaki01",1997,337,76,30,2,6,4,1,2,456,"C",1965,7,15,31,1,0.275964391691395,0.291105121293801,88.2742927527654
"mccraqu01",1997,325,95,42,1,11,1,3,1,711,"OF",1970,8,16,26,-4,0.36,0.373983739837398,114.117073170732
"perezne01",1997,313,91,21,1,13,10,5,4,1392,"2B",1973,6,2,24,-6,0.44408945686901,0.333333333333333,117.731629392971
"pulliha01",1997,67,19,5,0,3,0,3,0,37,"OF",1967,10,20,29,-1,0.462686567164179,0.333333333333333,120.149253731343
"reedje02",1997,256,76,35,2,10,0,17,0,487,"C",1962,11,12,34,4,0.53515625,0.385665529010239,138.990107721843
"vandejo02",1997,92,16,10,0,2,0,1,0,583,"1B",1966,4,29,31,1,0.228260869565217,0.254901960784314,75.5562659846547
"walkela01",1997,568,208,78,14,46,4,49,4,1229,"OF",1966,12,1,30,0,0.720070422535211,0.451807228915663,174.934456134397
"weisswa01",1997,393,106,66,2,23,5,4,1,677,"SS",1963,11,28,33,3,0.384223918575064,0.376623376623377,117.741317206966
"younger01",1997,468,132,57,5,29,6,6,5,1322,"2B",1967,5,18,30,0,0.408119658119658,0.362616822429907,118.326583592939
"abbotku01",1998,71,18,2,1,6,0,3,2,496,"SS",1969,6,2,29,-1,0.464788732394366,0.276315789473684,110.159377316531
"astacpe01",1998,62,8,0,2,2,0,0,0,327,"P",1968,11,28,29,-1,0.161290322580645,0.15625,49.0927419354839
"batesja01",1998,74,14,8,0,3,0,0,0,251,"2B",1971,1,5,27,-3,0.22972972972973,0.268292682926829,78.1575477916941
"bicheda01",1998,662,219,28,1,48,2,22,4,905,"OF",1963,11,18,34,4,0.509063444108761,0.356834532374101,130.408463561477
